Feature ID	Taxon
HM004513.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Plasmopara;s__Plasmopara_nivea
HM636048.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Pseudoperonospora;s__Pseudoperonospora_urticae
HM636052.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Pseudoperonospora;s__Pseudoperonospora_cannabina
HQ012953.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_taxon_paludosa
HQ012957.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cooljarloo
HQ013219.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_arenaria
HQ111455.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Lagenidium;s__Lagenidium_deciduum
HQ111461.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Lagenidium;s__Lagenidium_sp._PWL-2010b
HQ232465.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Halophytophthora;s__Halophytophthora_sp._LT6430
HQ232466.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Salisapiliaceae;g__Salisapilia;s__Salisapilia_sapeloensis
HQ232467.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Salisapiliaceae;g__Salisapilia;s__Salisapilia_nakagirii
HQ261711.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_sulawesiensis
HQ377371.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo_rorippae
HQ643085.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_aquatica
HQ643088.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_bisexualis
HQ643089.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_caroliniana
HQ643091.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_colorata
HQ643092.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_conspicua
HQ643094.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_dubia
HQ643097.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_flagellata
HQ643098.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_glomerata
HQ643100.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_heterosexualis
HQ643101.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Newbya;s__Newbya_oligocantha
HQ643102.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Achlyaceae;g__Achlya;s__Achlya_papillosa
HQ643105.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Cokeria;s__Cokeria_racemosa
HQ643106.1	k__unidentified;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Cokeria;s__Cokeria_radiosa
